"condition","title","phase","sponsor","sponsor_class"
"Depression/TRD","Psilocybin Assisted Psychotherapy for Treatment Resistant Depression and Co-occurring Substance Use Disorder","PHASE1","Indiana University","OTHER"
"Depression/TRD","Open-label Long-Term Extension Study for Participants With Treatment-Resistant Major Depressive Disorder Who Are Continuing Esketamine Nasal Spray Treatment From Study 54135419TRD3013","PHASE4","Janssen-Cilag Ltd.","INDUSTRY"
"Depression/TRD","A Double-Blind, Double-Randomization, Placebo-Controlled Study of the Efficacy of Intravenous Esketamine in Adult Subjects With Treatment-Resistant Depression","PHASE2","Janssen Research & Development, LLC","INDUSTRY"
"Depression/TRD","An Evaluation of the Efficacy of the Tumor Necrosis Factor-alpha Antagonist Infliximab in Treatment Resistant Major Depression: Mechanisms and Mediators","PHASE4","Emory University","OTHER"
"Depression/TRD","Psilocybin Versus Ketamine - Fast Acting Antidepressant Strategies in Treatment-resistant Depression","PHASE2","National Institute of Mental Health, Czech Republic","OTHER"
"Depression/TRD","A Prospective Randomized Controlled Trial of Electroconvulsive Therapy with Ketamine Anesthesia (Standard Therapy) and High Intensity Ketamine with Electroconvulsive Therapy Rescue for Treatment-Resistant Depression - EAST HIKER Trial","PHASE4","University of Saskatchewan","OTHER"
"Depression/TRD","A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Assessment of the Efficacy, Safety and Tolerability of CX157 Modified Release Tablet, 125 mg Twice Per Day in Subjects With Treatment Resistant Depression","PHASE2","CeNeRx BioPharma Inc.","INDUSTRY"
"Depression/TRD","Efficacy of Biomarker-guided rTMS for Treatment Resistant Depression","PHASE3","Weill Medical College of Cornell University","OTHER"
"Depression/TRD","Clinical Study on the Safety and Effectiveness of Vagus Nerve Stimulation in the Treatment of Refractory Depression","PHASE1","Xijing Hospital","OTHER"
"Depression/TRD","A Study to Evaluate the Efficacy, Safety and Maintenance Effect of Risperidone Augmentation of SSRI Monotherapy in Young and Older Adult Patients With Unipolar Treatment-Resistant Depression","PHASE3","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","INDUSTRY"
"Depression/TRD","Role of Inflammation Factors and Insulin Resistance in the Pathophysiology and Treatment Response of Major Depressive Disorder","PHASE4","National Cheng-Kung University Hospital","OTHER"
"Depression/TRD","A Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study to Evaluate Safety, Tolerability, Pharmacokinetic and Food Effect of BCI-838; and, An Open-Label Minidose Bioavailability Study to Compare Several BCI-632 Pro-drug Candidates in Healthy Male Subjects","PHASE1","BrainCells Inc.","INDUSTRY"
"Depression/TRD","Functional Magnetic Resonance Imaging of Patients Receiving Intravenous Ketamine for Treatment Resistant Bipolar Depression","PHASE2","Brian Barnett","OTHER"
"Depression/TRD","An Investigation of the Antidepressant Effects of the Glycine Receptor Antagonist AV 101 (4-chlorokynurenine) in Major Depressive Disorder","PHASE2","National Institute of Mental Health (NIMH)","NIH"
"Depression/TRD","A Randomized, Placebo-Controlled, Double-Blind Study to Assess Safety and Efficacy of Intravenous PCN-101 in Treatment Resistant Depression","PHASE2","Perception Neuroscience","INDUSTRY"
"Depression/TRD","A Double-Blind Randomized Placebo-Controlled Trial of Felbamate in Treatment Resistant Bipolar Depression","PHASE2","National Institute of Mental Health (NIMH)","NIH"
"Depression/TRD","Treatment of SSRI-Resistant Depression in Adolescents (TORDIA)","PHASE2","University of Pittsburgh","OTHER"
"Depression/TRD","Risperidone vs. Bupropion ER Augmentation of SSRIs in Treatment-Resistant Depression","PHASE3","Vanderbilt University","OTHER"
"Depression/TRD","Comparative Effectiveness Clinical Trial of Magnetic Seizure Therapy (MST) Compared to Electroconvulsive Therapy (MST) in Major Depressive Disorder","PHASE2","Tanta University","OTHER"
"Depression/TRD","Buprenorphine For Treatment Resistant Depression","PHASE3","University of Pittsburgh","OTHER"
"Depression/TRD","A Phase III, Multicentre, Randomised, Double-blind, Controlled Study to Investigate the Efficacy, Safety, and Tolerability of Two Administrations of COMP360 in Participants With Treatment-resistant Depression","PHASE3","COMPASS Pathways","INDUSTRY"
"Depression/TRD","A Phase Ib，Randomized, Double-Blind, Placebo-Controlled Study Evaluating The Safety, Tolerability And Pharmacokinetics of HS-10345 In Chinese Adult Subjects With Treatment Resistant Depression","PHASE1","Jiangsu Hansoh Pharmaceutical Co., Ltd.","INDUSTRY"
"Depression/TRD","A Randomized, Parallel-group，Placebo-controlled, Double-blind Clinical Trial to Evaluate the Efficacy and Safety of Ethosuximide in Chinese Patients With Treatment-Resistant Depression.","EARLY_PHASE1","Zhejiang University","OTHER"
"Depression/TRD","Open-Label Intravenous Subanesthetic Ketamine for Adolescents With Treatment-Resistant Depression","PHASE2","University of Minnesota","OTHER"
"Depression/TRD","Intramuscular Ketamine Versus Escitalopram and Aripiprazole in Acute and Maintenance Treatment of Patients With Treatment-resistant Depression","PHASE4","University of Sao Paulo","OTHER"
"Depression/TRD","Specialized Pro-resolving Lipid Mediators and Treatment Resistant Depression","PHASE2","Massachusetts General Hospital","OTHER"
"Depression/TRD","Assessing the Safety, Tolerability, and Efficacy of Psilocybin Therapy Followed by Accelerated Intermittent Theta Burst (aiTBS) Repetitive Transcranial Magnetic Stimulation (rTMS) for Treatment-Resistant Major Depressive Disorder","PHASE2","University of Texas at Austin","OTHER"
"Depression/TRD","Tianeptine for Treatment Resistant Depression","PHASE4","Jonathan A. Javitch, MD, PhD","OTHER"
"Depression/TRD","Efficacy and Safety of Repeated Intravenous Subanesthetic Ketamine Infusions Among Veterans With Treatment Resistant Depression Comorbid With Chronic Post-Traumatic Stress Disorder: A Proof-of-concept Study","PHASE1","Minneapolis Veterans Affairs Medical Center","FED"
"Depression/TRD","Dasatinib Plus Quercetin for Accelerated Aging in Mental Disorders","PHASE2","Washington University School of Medicine","OTHER"
"Depression/TRD","Comparative Efficacy of Antidepressant Augmentation With Amantadine vs Pramipexole vs Quetiapine in Treatment-resistant Unipolar Depression: A Randomized Controlled Trial.","PHASE4","All India Institute of Medical Sciences, Bhubaneswar","OTHER"
"Depression/TRD","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"Depression/TRD","Efficacy of Psilocybin and Trazodone Combination in Treatment-resistant Depression: a Randomized Controlled Proof-of-concept Study (PSILOTRAZ)","PHASE2","Centre Hospitalier St Anne","OTHER"
"Depression/TRD","A Pilot Trial on the Effectiveness and Tolerability of Accelerated High Frequency Repetitive Transcranial Magnetic Stimulation for Treating Resistant Major Depression","PHASE2","Douglas Mental Health University Institute","OTHER"
"Depression/TRD","The Effects of the Anti-inflammatory Drug, Tofacitinib on Emotional and Reward Processing in Patients With Treatment-resistant Depression and Elevated High-sensitivity C-reactive Protein","PHASE1","University of Oxford","OTHER"
"Depression/TRD","A Comparison Study of Combined ECT and Risperidone Versus ECT Alone for Treatment Resistant Depression.","PHASE4","University of California, Los Angeles","OTHER"
